Date,Open,High,Low,Close,Change,Change(%),Ratio(%),Volume,Value(T)
2018-01-09,3600,3600,3530,3570,Fall,20,1,906067,323558898
2018-01-10,3580,3590,3500,3530,Fall,40,1,1164091,413139111
2018-01-11,3540,3540,3480,3540,Rise,10,0,1143789,401395187
2018-01-12,3550,3580,3500,3540,Unchnaged,0,0,1334453,472691940
2018-01-15,3540,3570,3540,3550,Rise,10,0,866158,307536018
2018-01-16,3530,3610,3530,3610,Rise,60,2,921064,330412217
2018-01-17,3620,3630,3580,3630,Rise,20,1,814655,294171922
2018-01-18,3630,3650,3590,3620,Fall,10,0,791408,286632098
2018-01-19,3620,3630,3580,3620,Unchnaged,0,0,795762,286593145
2018-01-22,3620,3670,3610,3650,Rise,30,1,1168380,425727171
2018-01-23,3680,3920,3670,3920,Rise,270,7,1693047,641306651
2018-01-24,3900,3900,3820,3830,Fall,90,2,1500676,577386560
2018-01-25,3860,3860,3720,3770,Fall,60,2,1412739,533957390
2018-01-26,3790,3860,3780,3850,Rise,80,2,1356283,520321670
2018-01-29,3850,3850,3760,3800,Fall,50,1,1226229,464816319
2018-01-30,3800,3800,3710,3720,Fall,80,2,1793320,670634428
2018-01-31,3700,3720,3630,3700,Fall,20,1,2632075,970169451
2018-02-01,3730,3760,3700,3700,Unchnaged,0,0,1455860,543522403
2018-02-02,3740,3750,3710,3740,Rise,40,1,1141132,425061765
2018-02-05,3650,3790,3650,3780,Rise,40,1,1126770,422484533
2018-02-06,3690,3720,3660,3680,Fall,100,3,2602830,960379401
2018-02-07,3710,3750,3700,3700,Rise,20,1,1379265,512153373
2018-02-08,3680,3730,3680,3720,Rise,20,1,1111092,412134010
2018-02-09,3690,3730,3680,3710,Fall,10,0,931402,345944707
2018-02-12,3700,3800,3700,3800,Rise,90,2,815170,307303341
2018-02-13,3810,3890,3810,3880,Rise,80,2,1082364,417825030
2018-02-14,3900,3910,3830,3860,Fall,20,1,676652,261054991
2018-02-15,3860,3870,3820,3840,Fall,20,1,528935,203216050
2018-02-19,3850,3860,3820,3860,Rise,20,1,634090,243899174
2018-02-20,3840,3860,3780,3800,Fall,60,2,915065,347757625
2018-02-21,3800,3800,3750,3800,Unchnaged,0,0,1093613,413475380
2018-02-22,3780,3790,3760,3770,Fall,30,1,1038347,391906170
2018-02-23,3760,3810,3760,3790,Rise,20,1,1077493,408010782
2018-02-26,3750,3790,3730,3740,Fall,50,1,975444,365628653
2018-02-27,3740,3790,3730,3770,Rise,30,1,765095,287574816
2018-02-28,3780,3790,3740,3780,Rise,10,0,1262978,476960650
2018-03-01,3800,3820,3780,3790,Rise,10,0,1079914,410249861
2018-03-02,3790,3790,3740,3790,Unchnaged,0,0,618336,232551370
2018-03-05,3800,3800,3770,3770,Fall,20,1,552584,209185013
2018-03-06,3780,3810,3700,3730,Fall,40,1,910740,340378553
2018-03-07,3720,3730,3650,3660,Fall,70,2,1416123,521291560
2018-03-08,3730,3770,3690,3770,Rise,110,3,1306411,489892251
2018-03-09,3720,3750,3680,3690,Fall,80,2,991792,366834205
2018-03-12,3700,3760,3700,3760,Rise,70,2,1442256,539900626
2018-03-13,3760,3770,3720,3760,Unchnaged,0,0,1277388,478513467
2018-03-14,3750,3750,3700,3750,Fall,10,0,585749,218077158
2018-03-15,3700,3720,3640,3640,Fall,110,3,1500152,549500542
2018-03-16,3640,3680,3550,3680,Rise,40,1,2264486,822933565
2018-03-19,3690,3720,3670,3690,Rise,10,0,901076,332999975
2018-03-20,3720,3740,3660,3740,Rise,50,1,1052844,389543719
2018-03-21,3750,3820,3740,3810,Rise,70,2,1341104,507968803
2018-03-22,3800,3800,3660,3670,Fall,140,4,1445570,538729175
2018-03-23,3560,3600,3450,3600,Fall,70,2,1966959,699845602
2018-03-26,3580,3610,3540,3600,Unchnaged,0,0,899131,322986110
2018-03-27,3660,3670,3570,3600,Unchnaged,0,0,1024446,370177941
2018-03-28,3640,3650,3500,3550,Fall,50,1,983683,348926042
2018-03-29,3590,3600,3520,3600,Rise,50,1,1308605,467375273
2018-04-02,3500,3600,3490,3600,Unchnaged,0,0,692867,246684521
2018-04-03,3530,3600,3530,3600,Unchnaged,0,0,455247,163262352
2018-04-04,3600,3600,3460,3490,Fall,110,3,888790,313015810
2018-04-05,3510,3540,3470,3470,Fall,20,1,800152,281130607
2018-04-06,3470,3490,3450,3480,Rise,10,0,675570,234874002
2018-04-09,3530,3530,3480,3530,Rise,50,1,485953,170338889
2018-04-10,3540,3630,3530,3580,Rise,50,1,856686,306925618
2018-04-11,3650,3670,3630,3650,Rise,70,2,877024,320201186
2018-04-12,3670,3670,3570,3590,Fall,60,2,619896,223021448
2018-04-13,3640,3650,3550,3550,Fall,40,1,587080,211086536
2018-04-16,3580,3590,3540,3560,Rise,10,0,333372,118857685
2018-04-17,3540,3610,3540,3590,Rise,30,1,578380,207034202
2018-04-18,3640,3660,3620,3660,Rise,70,2,679030,247098872
2018-04-19,3660,3660,3610,3630,Fall,30,1,797758,289414032
2018-04-20,3650,3660,3590,3660,Rise,30,1,698340,253193586
2018-04-23,3630,3640,3580,3580,Fall,80,2,877212,314952065
2018-04-24,3570,3580,3480,3490,Fall,90,3,1014600,355612158
2018-04-25,3450,3460,3290,3310,Fall,180,5,1913864,644075012
2018-04-26,3290,3310,3120,3140,Fall,170,5,3121160,991558080
2018-04-27,3200,3250,3130,3150,Rise,10,0,2128986,678214691
2018-04-30,3190,3280,3160,3220,Rise,70,2,1302034,418751548
2018-05-02,3230,3240,3190,3230,Rise,10,0,1189746,382717368
2018-05-03,3200,3200,3140,3150,Fall,80,2,1448443,458107071
2018-05-04,3150,3170,3010,3030,Fall,120,4,1825070,555590393
2018-05-07,3080,3100,2990,3050,Rise,20,1,1840944,562664563
2018-05-08,3090,3090,3020,3070,Rise,20,1,1104610,337489832
2018-05-09,3120,3230,3070,3210,Rise,140,5,1854273,582570157
2018-05-11,3260,3300,3160,3160,Fall,50,2,1614493,523704645
2018-05-14,3150,3190,3100,3190,Rise,30,1,962247,302920790
2018-05-15,3220,3220,3060,3070,Fall,120,4,1080294,334314740
2018-05-16,3010,3070,2950,3070,Unchnaged,0,0,2989250,901338457
2018-05-17,3070,3100,2990,2990,Fall,80,3,1728329,528024632
2018-05-18,3000,3040,2920,2940,Fall,50,2,2150623,637439192
2018-05-21,2900,2920,2750,2760,Fall,180,6,5179214,1444227649
2018-05-22,2770,2840,2720,2720,Fall,40,1,3325146,922704907
2018-05-23,2780,2920,2770,2880,Rise,160,6,4099186,1170478982
