Date,Close
2016-09-20,2400
2016-09-21,2400
2016-09-22,2410
2016-09-23,2410
2016-09-26,2400
2016-09-27,2420
2016-09-28,2420
2016-09-29,2440
2016-09-30,2440
2016-10-03,2450
2016-10-04,2450
2016-10-05,2460
2016-10-06,2480
2016-10-07,2390
2016-10-10,2370
2016-10-11,2390
2016-10-12,2400
2016-10-13,2390
2016-10-14,2440
2016-10-17,2430
2016-10-18,2440
2016-10-19,2430
2016-10-20,2420
2016-10-21,2440
2016-10-24,2440
2016-10-25,2430
2016-10-26,2410
2016-10-27,2440
2016-10-28,2440
2016-10-31,2440
2016-11-01,2440
2016-11-02,2480
2016-11-03,2460
2016-11-04,2480
2016-11-07,2490
2016-11-08,2570
2016-11-09,2520
2016-11-10,2540
2016-11-11,2390
2016-11-14,2220
2016-11-15,2200
2016-11-16,2300
2016-11-17,2300
2016-11-18,2300
2016-11-21,2290
2016-11-22,2290
2016-11-23,2300
2016-11-24,2260
2016-11-25,2180
2016-11-28,2090
2016-11-29,2110
2016-11-30,2180
2016-12-01,2210
2016-12-02,2260
2016-12-05,2220
2016-12-06,2260
2016-12-07,2280
2016-12-08,2300
2016-12-09,2290
2016-12-13,2340
2016-12-14,2300
2016-12-15,2280
2016-12-16,2250
2016-12-19,2250
2016-12-20,2240
2016-12-21,2200
2016-12-22,2170
2016-12-23,2170
2016-12-27,2200
2016-12-28,2270
2016-12-29,2330
2016-12-30,2330
2017-01-03,2380
2017-01-04,2440
2017-01-05,2420
2017-01-06,2420
2017-01-09,2350
2017-01-10,2360
2017-01-11,2360
2017-01-12,2370
2017-01-13,2390
2017-01-16,2380
2017-01-17,2380
2017-01-18,2390
2017-01-19,2400
2017-01-20,2360
2017-01-23,2360
2017-01-24,2360
2017-01-25,2340
2017-01-26,2350
2017-01-27,2340
2017-01-30,2350
2017-01-31,2340
2017-02-01,2390
2017-02-02,2390
2017-02-03,2400
2017-02-06,2410
2017-02-07,2400
2017-02-08,2390
2017-02-09,2390
2017-02-10,2400
2017-02-13,2410
2017-02-14,2400
2017-02-16,2400
2017-02-17,2340
2017-02-20,2350
2017-02-21,2380
2017-02-22,2400
2017-02-23,2380
2017-02-24,2390
2017-02-27,2370
2017-02-28,2390
2017-03-01,2390
2017-03-02,2370
2017-03-03,2370
2017-03-06,2390
2017-03-07,2400
2017-03-08,2400
2017-03-09,2410
2017-03-10,2410
2017-03-13,2410
2017-03-14,2410
2017-03-15,2430
2017-03-16,2500
2017-03-17,2600
2017-03-20,2600
2017-03-21,2600
2017-03-22,2640
2017-03-23,2630
2017-03-24,2630
2017-03-27,2550
2017-03-29,2560
2017-03-30,2590
2017-03-31,2590
2017-04-03,2600
2017-04-04,2600
2017-04-05,2600
2017-04-06,2630
2017-04-07,2610
2017-04-10,2620
2017-04-11,2580
2017-04-12,2550
2017-04-13,2540
2017-04-17,2480
2017-04-18,2570
2017-04-20,2550
2017-04-21,2580
2017-04-25,2620
2017-04-26,2640
2017-04-27,2600
2017-04-28,2580
2017-05-02,2610
2017-05-03,2640
2017-05-04,2780
2017-05-05,2780
2017-05-08,2820
2017-05-09,2800
2017-05-10,2790
2017-05-12,2800
2017-05-15,2860
2017-05-16,2800
2017-05-17,2820
2017-05-18,2820
2017-05-19,2900
2017-05-22,2920
2017-05-23,2890
2017-05-24,2830
2017-05-26,2840
2017-05-29,2840
2017-05-30,2840
2017-05-31,2890
2017-06-02,2950
2017-06-05,3000
2017-06-06,2930
2017-06-07,2980
2017-06-08,2930
2017-06-09,2870
2017-06-12,2920
2017-06-13,2890
2017-06-14,2970
2017-06-15,2930
2017-06-16,2930
2017-06-19,2960
